catalog,vendor,product,api_family,api_group,id,status,method,path,summary,migration_phase,migration_use,official_doc_url
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security schemes,issue-security-schemes-get-rest-api-3-issuesecurityschemes,reviewed,GET,/rest/api/3/issuesecurityschemes,Get issue security schemes,extract,Issue security schemes extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security schemes,issue-security-schemes-post-rest-api-3-issuesecurityschemes,reviewed,POST,/rest/api/3/issuesecurityschemes,Create issue security scheme,load,Issue security schemes creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security schemes,issue-security-schemes-get-rest-api-3-issuesecurityschemes-level,reviewed,GET,/rest/api/3/issuesecurityschemes/level,Get issue security levels,extract,Issue security schemes extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security schemes,issue-security-schemes-put-rest-api-3-issuesecurityschemes-level-default,reviewed,PUT,/rest/api/3/issuesecurityschemes/level/default,Set default issue security levels,transform,Issue security schemes reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security schemes,issue-security-schemes-get-rest-api-3-issuesecurityschemes-level-member,reviewed,GET,/rest/api/3/issuesecurityschemes/level/member,Get issue security level members,extract,Issue security schemes extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security schemes,issue-security-schemes-get-rest-api-3-issuesecurityschemes-project,reviewed,GET,/rest/api/3/issuesecurityschemes/project,Get projects using issue security schemes,extract,Issue security schemes extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security schemes,issue-security-schemes-put-rest-api-3-issuesecurityschemes-project,reviewed,PUT,/rest/api/3/issuesecurityschemes/project,Associate security scheme to project,transform,Issue security schemes reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security schemes,issue-security-schemes-get-rest-api-3-issuesecurityschemes-search,reviewed,GET,/rest/api/3/issuesecurityschemes/search,Search issue security schemes,extract,Issue security schemes extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security schemes,issue-security-schemes-get-rest-api-3-issuesecurityschemes-id,reviewed,GET,/rest/api/3/issuesecurityschemes/{id},Get issue security scheme,extract,Issue security schemes extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue security schemes,issue-security-schemes-put-rest-api-3-issuesecurityschemes-id,reviewed,PUT,/rest/api/3/issuesecurityschemes/{id},Update issue security scheme,load,Issue security schemes creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-security-schemes/
